# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_sp._C448	0.0	0.166666666667	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.25	0.0	0.0	0.0	0.2	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria_palustris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus_luteus	0.0	0.166666666667	0.0	0.0	0.0	0.2	0.333333333333	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_dentocariosa	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.4	0.5	0.0	0.0	1.5	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.5	1.0	0.0	0.2	0.5	0.0	0.2	0.0	0.0	0.333333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa	2.5	0.5	2.0	1.6	1.4	1.8	1.33333333333	6.2	2.5	0.333333333333	0.25	33.25	0.333333333333	0.0	9.4	1.0	17.5	0.666666666667	0.5	15.8	6.25	0.75	16.75	8.5	0.0	0.6	3.5	4.0	2.2	2.6	0.6	13.6666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;Other	0.0	0.333333333333	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes	18.0	13.3333333333	10.6666666667	14.0	6.8	9.0	12.6666666667	4.6	8.0	2.66666666667	25.75	10.0	6.0	3.0	7.4	8.33333333333	40.0	4.33333333333	1.75	7.2	6.75	29.75	10.75	10.5	23.6666666667	10.0	13.0	11.0	4.8	7.8	9.8	13.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_avidum	0.25	0.5	0.166666666667	0.0	0.2	0.6	0.666666666667	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_freudenreichii	0.0	16.1666666667	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	14.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	2.2	2.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium;s__Pseudopropionibacterium_propionicum	0.0	2.16666666667	0.0	0.0	0.0	0.6	0.333333333333	0.2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.2	0.6	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;Other;Other;Other;Other	0.25	0.5	1.83333333333	3.6	0.6	0.8	0.333333333333	2.4	2.5	0.333333333333	0.5	6.0	0.666666666667	7.0	3.4	0.666666666667	0.5	1.0	1.75	3.8	2.0	0.5	1.0	24.0	1.33333333333	1.4	0.5	0.5	0.4	1.8	4.2	7.66666666667
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium_parvulum	0.25	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.2	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_sp._oral_taxon_809	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_uli	0.0	0.0	0.166666666667	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;Other;Other	0.0	0.0	0.333333333333	0.6	0.8	0.0	1.0	0.6	1.0	0.333333333333	0.0	1.0	0.0	0.0	1.4	0.333333333333	0.0	0.0	0.25	1.4	1.0	0.25	0.0	7.5	1.33333333333	0.2	2.0	0.0	0.0	0.4	1.4	2.33333333333
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__Coriobacteriaceae_bacterium_68-1-3	0.0	0.5	0.0	0.4	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;Other	0.0	0.0	0.833333333333	2.0	1.4	0.2	0.666666666667	2.2	1.0	0.0	0.0	1.25	0.0	0.0	1.0	0.333333333333	0.0	0.0	0.25	1.4	0.25	6.25	1.75	11.0	4.66666666667	2.2	1.25	0.0	0.0	1.0	3.8	2.0
